train_loss,epoch,step,val_loss
26.125080108642578,0,49,
,0,87,5.924381256103516
12.452692985534668,1,99,
2.9965903759002686,1,149,
,1,175,2.8484373092651367
2.1100242137908936,2,199,
1.8638275861740112,2,249,
,2,263,2.604689598083496
1.7907203435897827,3,299,
1.8616633415222168,3,349,
,3,351,2.5804314613342285
1.6397826671600342,4,399,
,4,439,2.576420783996582
1.6677597761154175,5,449,
1.6306062936782837,5,499,
,5,527,2.5453667640686035
1.4923127889633179,6,549,
1.43394935131073,6,599,
,6,615,2.509223222732544
1.500927448272705,7,649,
1.4583876132965088,7,699,
,7,703,2.515735149383545
1.5707333087921143,8,749,
,8,791,2.4929184913635254
1.533935308456421,9,799,
1.5023318529129028,9,849,
,9,879,2.514955997467041
