train_loss,epoch,step,val_loss
24.38308334350586,0,49,
,0,87,5.973747253417969
11.908232688903809,1,99,
2.9376916885375977,1,149,
,1,175,2.8471157550811768
2.209951877593994,2,199,
2.067963123321533,2,249,
,2,263,2.663126230239868
1.9914219379425049,3,299,
1.701277494430542,3,349,
,3,351,2.6055870056152344
1.560136079788208,4,399,
,4,439,2.556387424468994
1.4515087604522705,5,449,
1.5425463914871216,5,499,
,5,527,2.5493903160095215
1.4893929958343506,6,549,
1.540778636932373,6,599,
,6,615,2.53741455078125
1.482832908630371,7,649,
1.433237910270691,7,699,
,7,703,2.5147321224212646
1.3734889030456543,8,749,
,8,791,2.47196102142334
1.5989058017730713,9,799,
1.4960360527038574,9,849,
,9,879,2.4991397857666016
1.389880895614624,10,899,
1.2984172105789185,10,949,
,10,967,2.5483944416046143
1.3522088527679443,11,999,
1.3050875663757324,11,1049,
,11,1055,2.482883930206299
1.368882417678833,12,1099,
,12,1143,2.446204662322998
1.2938432693481445,13,1149,
1.3409780263900757,13,1199,
,13,1231,2.444685220718384
1.3514412641525269,14,1249,
1.3062094449996948,14,1299,
,14,1319,2.433579683303833
1.3265666961669922,15,1349,
1.186285138130188,15,1399,
,15,1407,2.4338247776031494
1.2026305198669434,16,1449,
,16,1495,2.421743392944336
1.2486746311187744,17,1499,
1.2647981643676758,17,1549,
,17,1583,2.458268880844116
1.3016424179077148,18,1599,
1.09478759765625,18,1649,
,18,1671,2.416151285171509
1.2099136114120483,19,1699,
1.1806141138076782,19,1749,
,19,1759,2.365673542022705
