train_loss,epoch,step,val_loss
26.37930679321289,0,49,
,0,87,6.28172492980957
11.957839012145996,1,99,
2.921154499053955,1,149,
,1,175,2.8909177780151367
2.3107826709747314,2,199,
1.9356677532196045,2,249,
,2,263,2.6564319133758545
1.746592402458191,3,299,
1.777177095413208,3,349,
,3,351,2.590275287628174
1.6265859603881836,4,399,
,4,439,2.591374158859253
1.6199147701263428,5,449,
1.8189665079116821,5,499,
,5,527,2.536935329437256
1.580575704574585,6,549,
1.4388175010681152,6,599,
,6,615,2.551170587539673
1.478229284286499,7,649,
1.5285229682922363,7,699,
,7,703,2.5124475955963135
1.4991068840026855,8,749,
,8,791,2.5365190505981445
1.399183988571167,9,799,
1.4648596048355103,9,849,
,9,879,2.5495216846466064
1.5480833053588867,10,899,
1.3392373323440552,10,949,
,10,967,2.50925874710083
1.380687952041626,11,999,
1.3609445095062256,11,1049,
,11,1055,2.4869325160980225
1.3282530307769775,12,1099,
,12,1143,2.5182881355285645
1.3224513530731201,13,1149,
1.3902013301849365,13,1199,
,13,1231,2.4943435192108154
1.3041192293167114,14,1249,
1.2486960887908936,14,1299,
,14,1319,2.4929885864257812
