train_loss,epoch,step,val_loss
23.759065628051758,0,49,
,0,87,6.02668571472168
10.27912712097168,1,99,
3.3468575477600098,1,149,
,1,175,2.8120152950286865
2.0927014350891113,2,199,
1.658395528793335,2,249,
,2,263,2.405665636062622
1.7252309322357178,3,299,
1.470797061920166,3,349,
,3,351,2.330451250076294
1.4212534427642822,4,399,
,4,439,2.2750442028045654
1.5851991176605225,5,449,
1.3748637437820435,5,499,
,5,527,2.268831729888916
1.394289493560791,6,549,
1.3338003158569336,6,599,
,6,615,2.216606855392456
1.4954965114593506,7,649,
1.2578428983688354,7,699,
,7,703,2.224724292755127
1.234722375869751,8,749,
,8,791,2.194671392440796
1.2530384063720703,9,799,
1.3209567070007324,9,849,
,9,879,2.199843645095825
