SQL,LIMAO,PG(LIMAO),GNTO,PG(GNTO)
10a_ceb.sql,32.0,2.78184175491333,1.9165256023406982,3.1596314907073975
10a_job.sql,4.736732006072998,1.1473197937011719,0.5561506748199463,1.3502328395843506
10b_job.sql,9.0658278465271,0.40586280822753906,0.38231992721557617,0.4362964630126953
10c_job.sql,16.975630044937134,5.292677879333496,17.480509996414185,5.511041164398193
11a_job.sql,1.4675393104553223,0.12984752655029297,0.2908289432525635,0.14287686347961426
11b_job.sql,1.6841645240783691,0.11851620674133301,0.2726328372955322,0.1293330192565918
11c_job.sql,0.34233784675598145,0.19884300231933594,0.3922309875488281,0.2680811882019043
11d_job.sql,32.0,0.1613917350769043,0.35884881019592285,0.20238184928894043
12a_job.sql,3.5320699214935303,0.31234216690063477,0.5369317531585693,0.3766965866088867
12b_job.sql,2.7974469661712646,0.16251611709594727,1.962454080581665,0.20321273803710938
12c_job.sql,2.3915534019470215,6.421222686767578,1.1002485752105713,8.975033521652222
13a_job.sql,7.14054012298584,1.9078824520111084,2.268885850906372,2.0414092540740967
13b_job.sql,4.8374412059783936,0.8490102291107178,1.1691339015960693,1.0565760135650635
13c_job.sql,1.0441648960113525,0.7967090606689453,1.1340305805206299,0.9451775550842285
13d_job.sql,32.0,2.7790780067443848,4.145542621612549,3.1013808250427246
14a_job.sql,4.195780277252197,0.2211761474609375,0.4547610282897949,0.30659055709838867
14b_job.sql,4.4145472049713135,0.14675188064575195,0.3451848030090332,0.20562052726745605
14c_job.sql,32.0,0.3996868133544922,0.6712837219238281,0.5196394920349121
15a_job.sql,3.862581491470337,0.7078626155853271,1.035571575164795,0.7385478019714355
15b_job.sql,0.44647765159606934,0.1449136734008789,3.993288040161133,0.16790080070495605
16a_job.sql,9.189271926879883,0.19466376304626465,0.4405851364135742,0.263552188873291
16b_job.sql,6.44206976890564,20.40421438217163,11.288646697998047,26.44699740409851
16c_job.sql,32.0,0.9589307308197021,1.2277915477752686,1.0634489059448242
16d_job.sql,16.994333505630493,0.8280084133148193,1.0382578372955322,0.9464237689971924
17a_job.sql,32.0,6.143604040145874,6.323565244674683,6.571879148483276
17b_job.sql,3.6368906497955322,32.0,3.9485769271850586,32.0
17c_job.sql,7.889155149459839,3.601724863052368,3.7466230392456055,3.852809429168701
17d_job.sql,5.499809980392456,3.6615421772003174,3.814445734024048,3.920393943786621
17e_job.sql,10.232747316360474,6.4676947593688965,5.987665891647339,6.404890060424805
17f_job.sql,32.0,5.177108526229858,5.249542474746704,5.467613220214844
18a_job.sql,32.0,1.6792640686035156,0.8874788284301758,1.676281213760376
18b_job.sql,4.732060670852661,6.315793752670288,0.47787904739379883,6.280016660690308
18c_job.sql,6.036304712295532,6.067596197128296,6.158133268356323,6.446514129638672
19a_job.sql,1.572525978088379,1.4788916110992432,1.6036286354064941,1.465912103652954
19b_job.sql,32.0,0.3244304656982422,32.0,0.36692190170288086
19c_job.sql,7.120787620544434,2.5303726196289062,1.6927697658538818,2.745884656906128
19d_job.sql,7.837060451507568,13.688925504684448,10.445030927658081,14.628545045852661
1a_job.sql,1.6114757061004639,0.17711853981018066,1.8399715423583984,0.19608688354492188
1b_job.sql,0.6982545852661133,0.1437070369720459,0.2626516819000244,0.15329194068908691
1c_job.sql,1.517035961151123,0.16320013999938965,0.2686774730682373,0.1908278465270996
1d_job.sql,0.949012041091919,0.16466522216796875,0.2515840530395508,0.18091940879821777
20a_job.sql,1.845292329788208,1.5713927745819092,1.942692756652832,1.672142744064331
20b_job.sql,1.4586646556854248,1.2140686511993408,1.5320398807525635,1.3660006523132324
20c_job.sql,1.1141414642333984,1.4936482906341553,32.0,1.5861539840698242
21a_job.sql,0.40592527389526367,0.14957356452941895,0.41507840156555176,0.1858830451965332
21b_job.sql,3.0136585235595703,0.1273951530456543,32.0,0.13874483108520508
21c_job.sql,0.43549251556396484,0.13592243194580078,0.4183216094970703,0.15326857566833496
22a_job.sql,3.1938633918762207,5.891608476638794,1.0542631149291992,18.802397966384888
22b_job.sql,3.145442247390747,0.19231677055358887,0.931363582611084,0.29071927070617676
