train_loss,epoch,step,val_loss
24.068885803222656,0,49,
11.89023208618164,0,99,
2.730191230773926,0,149,
,0,166,2.6413042545318604
2.2919459342956543,1,199,
1.6626248359680176,1,249,
1.8062875270843506,1,299,
,1,333,2.33786940574646
1.7021770477294922,2,349,
1.7210813760757446,2,399,
1.6653192043304443,2,449,
1.549712896347046,2,499,
,2,500,2.2916412353515625
1.6642842292785645,3,549,
1.512060523033142,3,599,
1.4629024267196655,3,649,
,3,667,2.2589845657348633
1.5664210319519043,4,699,
1.5490515232086182,4,749,
1.3751710653305054,4,799,
,4,834,2.23333477973938
1.4202992916107178,5,849,
1.326392650604248,5,899,
1.289463996887207,5,949,
1.3715410232543945,5,999,
,5,1001,2.2730560302734375
1.295622706413269,6,1049,
1.4404728412628174,6,1099,
1.3933050632476807,6,1149,
,6,1168,2.256171941757202
1.3304784297943115,7,1199,
1.265650987625122,7,1249,
1.3592841625213623,7,1299,
,7,1335,2.211620330810547
1.2428796291351318,8,1349,
1.245056390762329,8,1399,
1.165618658065796,8,1449,
1.1163684129714966,8,1499,
,8,1502,2.2083516120910645
1.2553777694702148,9,1549,
1.2508654594421387,9,1599,
1.289325475692749,9,1649,
,9,1669,2.2102463245391846
1.284738540649414,10,1699,
1.2203460931777954,10,1749,
1.353892207145691,10,1799,
,10,1836,2.1914961338043213
1.164856195449829,11,1849,
1.2216500043869019,11,1899,
1.0413200855255127,11,1949,
1.2915725708007812,11,1999,
,11,2003,2.2186877727508545
1.233896017074585,12,2049,
1.2016873359680176,12,2099,
1.1978306770324707,12,2149,
,12,2170,2.2633612155914307
1.2890667915344238,13,2199,
1.1788852214813232,13,2249,
1.1334413290023804,13,2299,
,13,2337,2.2062816619873047
1.1634687185287476,14,2349,
1.184274435043335,14,2399,
1.2224130630493164,14,2449,
1.189086675643921,14,2499,
,14,2504,2.1735966205596924
1.0668110847473145,15,2549,
0.9929025173187256,15,2599,
1.1205179691314697,15,2649,
,15,2671,2.144683837890625
1.2311732769012451,16,2699,
1.1997170448303223,16,2749,
1.0357707738876343,16,2799,
,16,2838,2.2794573307037354
1.1892790794372559,17,2849,
1.251878261566162,17,2899,
1.1779735088348389,17,2949,
1.1696810722351074,17,2999,
,17,3005,2.2104594707489014
1.1656321287155151,18,3049,
1.240858793258667,18,3099,
1.2051020860671997,18,3149,
,18,3172,2.1823947429656982
1.0677313804626465,19,3199,
0.9284458756446838,19,3249,
1.0397334098815918,19,3299,
,19,3339,2.15909743309021
0.9803048968315125,20,3349,
1.0266191959381104,20,3399,
1.023638367652893,20,3449,
1.1192936897277832,20,3499,
,20,3506,2.161792039871216
0.9521062970161438,21,3549,
1.1218863725662231,21,3599,
1.0493378639221191,21,3649,
,21,3673,2.1510562896728516
0.9590275883674622,22,3699,
0.9815258979797363,22,3749,
1.1008703708648682,22,3799,
,22,3840,2.14904522895813
0.9268693923950195,23,3849,
0.9713512659072876,23,3899,
0.9171919226646423,23,3949,
1.089674711227417,23,3999,
,23,4007,2.1639554500579834
0.9796258211135864,24,4049,
0.961423397064209,24,4099,
0.9219468235969543,24,4149,
,24,4174,2.1793549060821533
0.9193495512008667,25,4199,
1.0646414756774902,25,4249,
0.965839147567749,25,4299,
,25,4341,2.119724750518799
0.9607204794883728,26,4349,
1.1012747287750244,26,4399,
0.8960527181625366,26,4449,
1.0514183044433594,26,4499,
,26,4508,2.1819334030151367
1.0444393157958984,27,4549,
0.9818035364151001,27,4599,
0.9362834692001343,27,4649,
,27,4675,2.172774314880371
1.0698583126068115,28,4699,
0.9756101369857788,28,4749,
0.9693974852561951,28,4799,
,28,4842,2.170773983001709
0.9956235289573669,29,4849,
0.9731634855270386,29,4899,
1.0278844833374023,29,4949,
1.0911895036697388,29,4999,
,29,5009,2.155125856399536
1.0307471752166748,30,5049,
0.9536687135696411,30,5099,
1.0125125646591187,30,5149,
,30,5176,2.1367979049682617
0.9123877286911011,31,5199,
1.0087790489196777,31,5249,
0.8953589797019958,31,5299,
,31,5343,2.12986421585083
0.9807474613189697,32,5349,
1.1437208652496338,32,5399,
1.0619182586669922,32,5449,
0.9557838439941406,32,5499,
,32,5510,2.1513729095458984
0.9313124418258667,33,5549,
0.9347044229507446,33,5599,
1.20796799659729,33,5649,
,33,5677,2.148836612701416
0.9409480690956116,34,5699,
0.9331120848655701,34,5749,
0.9877529144287109,34,5799,
,34,5844,2.193084478378296
0.9943417310714722,35,5849,
0.9151911735534668,35,5899,
0.9569385051727295,35,5949,
0.9575705528259277,35,5999,
,35,6011,2.1291022300720215
1.0030015707015991,36,6049,
0.9932278394699097,36,6099,
1.0059508085250854,36,6149,
,36,6178,2.140007257461548
0.9255232810974121,37,6199,
0.8603945970535278,37,6249,
0.9218857288360596,37,6299,
,37,6345,2.1415035724639893
0.9514801502227783,38,6349,
0.8941863775253296,38,6399,
0.8985670804977417,38,6449,
0.9819509983062744,38,6499,
,38,6512,2.1304290294647217
0.9556573629379272,39,6549,
0.9401158094406128,39,6599,
0.9232953190803528,39,6649,
,39,6679,2.1391868591308594
0.992511510848999,40,6699,
1.0510618686676025,40,6749,
0.9942702651023865,40,6799,
,40,6846,2.1829750537872314
0.818459153175354,41,6849,
0.9164779186248779,41,6899,
0.8611071109771729,41,6949,
0.9816364645957947,41,6999,
,41,7013,2.1383705139160156
0.8767334222793579,42,7049,
0.9050533175468445,42,7099,
0.9113039374351501,42,7149,
,42,7180,2.1480469703674316
1.023918867111206,43,7199,
0.8265296220779419,43,7249,
