train_loss,epoch,step,val_loss
25.340900421142578,0,49,
,0,87,4.862521648406982
12.118255615234375,1,99,
3.4785799980163574,1,149,
,1,175,3.0406923294067383
2.2665696144104004,2,199,
1.90133798122406,2,249,
,2,263,2.727459192276001
1.775986909866333,3,299,
1.8708792924880981,3,349,
,3,351,2.635861873626709
1.902174711227417,4,399,
,4,439,2.6012589931488037
1.8444796800613403,5,449,
1.5884186029434204,5,499,
,5,527,2.5906548500061035
1.6652929782867432,6,549,
1.6921615600585938,6,599,
,6,615,2.579353094100952
1.4452383518218994,7,649,
1.5271039009094238,7,699,
,7,703,2.5476174354553223
1.5645086765289307,8,749,
,8,791,2.5422513484954834
1.4880526065826416,9,799,
1.5523872375488281,9,849,
,9,879,2.535472869873047
1.491357445716858,10,899,
1.5755773782730103,10,949,
,10,967,2.525717258453369
1.3813601732254028,11,999,
1.4591107368469238,11,1049,
,11,1055,2.52872896194458
1.3821842670440674,12,1099,
,12,1143,2.540419816970825
1.3943296670913696,13,1149,
1.363694190979004,13,1199,
,13,1231,2.4890635013580322
1.3139150142669678,14,1249,
1.3527255058288574,14,1299,
,14,1319,2.464878797531128
