train_loss,epoch,step,val_loss
22.056608200073242,0,49,
,0,87,7.852629661560059
10.720788955688477,1,99,
3.2818925380706787,1,149,
,1,175,3.223445415496826
2.0627222061157227,2,199,
1.836038589477539,2,249,
,2,263,2.3988659381866455
1.5208921432495117,3,299,
1.509358286857605,3,349,
,3,351,2.3557307720184326
1.6820238828659058,4,399,
,4,439,2.330784559249878
1.5559358596801758,5,449,
1.4668854475021362,5,499,
,5,527,2.245572566986084
1.3719651699066162,6,549,
1.293269395828247,6,599,
,6,615,2.2268762588500977
1.3337496519088745,7,649,
1.3103528022766113,7,699,
,7,703,2.220182418823242
1.2850284576416016,8,749,
,8,791,2.187737226486206
1.216620683670044,9,799,
1.321526288986206,9,849,
,9,879,2.1907424926757812
