train_loss,epoch,step,val_loss
24.104591369628906,0,49,
,0,87,4.714555740356445
10.837957382202148,1,99,
4.791872024536133,1,149,
,1,175,2.5378904342651367
2.2064404487609863,2,199,
1.96846342086792,2,249,
,2,263,2.236304521560669
1.6154171228408813,3,299,
1.7627036571502686,3,349,
,3,351,2.189154624938965
1.5867505073547363,4,399,
,4,439,2.171867609024048
1.5177192687988281,5,449,
1.5345886945724487,5,499,
,5,527,2.152080535888672
1.4376587867736816,6,549,
1.4681365489959717,6,599,
,6,615,2.163515090942383
1.2696235179901123,7,649,
1.408005714416504,7,699,
,7,703,2.1109485626220703
1.2574045658111572,8,749,
,8,791,2.1180953979492188
1.4295868873596191,9,799,
1.4203712940216064,9,849,
,9,879,2.131560802459717
