train_loss,epoch,step,val_loss
26.37930679321289,0,49,
,0,87,6.28172492980957
11.957839012145996,1,99,
2.921154499053955,1,149,
,1,175,2.8909177780151367
2.3107826709747314,2,199,
1.9356677532196045,2,249,
,2,263,2.6564319133758545
1.746592402458191,3,299,
1.777177095413208,3,349,
,3,351,2.590275287628174
1.6265859603881836,4,399,
,4,439,2.591374158859253
1.6199147701263428,5,449,
1.8189665079116821,5,499,
,5,527,2.536935329437256
1.580575704574585,6,549,
1.4388175010681152,6,599,
,6,615,2.551170587539673
1.478229284286499,7,649,
1.5285229682922363,7,699,
,7,703,2.5124475955963135
1.4991068840026855,8,749,
,8,791,2.5365190505981445
1.399183988571167,9,799,
1.4648596048355103,9,849,
,9,879,2.5495216846466064
