train_loss,epoch,step,val_loss
22.179292678833008,0,49,
,0,87,4.922538757324219
11.175640106201172,1,99,
3.7098937034606934,1,149,
,1,175,2.7403721809387207
2.4309020042419434,2,199,
1.902061939239502,2,249,
,2,263,2.3639566898345947
1.825697660446167,3,299,
1.6002737283706665,3,349,
,3,351,2.247614860534668
1.6239454746246338,4,399,
,4,439,2.156705379486084
1.6175693273544312,5,449,
1.49689781665802,5,499,
,5,527,2.110783338546753
1.3877474069595337,6,549,
1.4461636543273926,6,599,
,6,615,2.098052978515625
1.2823117971420288,7,649,
1.3388136625289917,7,699,
,7,703,2.088456392288208
1.2246873378753662,8,749,
,8,791,2.0905511379241943
1.3437780141830444,9,799,
1.2912344932556152,9,849,
,9,879,2.085733652114868
