train_loss,epoch,step,val_loss
22.488065719604492,0,49,
,0,87,5.426393032073975
10.02499008178711,1,99,
2.4124271869659424,1,149,
,1,175,2.4431827068328857
1.890953779220581,2,199,
1.6871397495269775,2,249,
,2,263,2.3290975093841553
1.9557218551635742,3,299,
1.6741020679473877,3,349,
,3,351,2.2920377254486084
1.5257478952407837,4,399,
,4,439,2.2523012161254883
1.6210542917251587,5,449,
1.5198901891708374,5,499,
,5,527,2.196375846862793
1.4819881916046143,6,549,
1.5003430843353271,6,599,
,6,615,2.128967761993408
1.36876380443573,7,649,
1.452702522277832,7,699,
,7,703,2.153583526611328
1.2874236106872559,8,749,
,8,791,2.1120383739471436
1.3383572101593018,9,799,
1.3510375022888184,9,849,
,9,879,2.124232530593872
