train_loss,epoch,step,val_loss
24.206249237060547,0,49,
,0,87,14.765972137451172
10.635627746582031,1,99,
2.88958740234375,1,149,
,1,175,2.8326830863952637
2.1187381744384766,2,199,
1.8128937482833862,2,249,
,2,263,2.367624282836914
1.501986026763916,3,299,
1.543582558631897,3,349,
,3,351,2.3473198413848877
1.5535929203033447,4,399,
,4,439,2.3030483722686768
1.5130889415740967,5,449,
1.6717307567596436,5,499,
,5,527,2.2830820083618164
1.3954999446868896,6,549,
1.347243309020996,6,599,
,6,615,2.2589709758758545
1.410839557647705,7,649,
1.3920390605926514,7,699,
,7,703,2.2590110301971436
1.384443759918213,8,749,
,8,791,2.2578835487365723
1.2571368217468262,9,799,
1.248518943786621,9,849,
,9,879,2.2103188037872314
